T	V	Fv	Fd	Sv	Cv
990	14.28841354	-7.588485777	0.329400643	57.2092713	24.7514856
1000	14.29393632	-7.594567619	0.335482486	57.47111598	24.75529203
1010	14.29946162	-7.600677728	0.341592595	57.73051432	24.75898457
1020	14.30498953	-7.606815854	0.347730721	57.98751343	24.76256767
1030	14.31052006	-7.61298175	0.353896616	58.24215892	24.76604557
1040	14.31605316	-7.619175169	0.360090036	58.49449498	24.76942229
1050	14.32158886	-7.625395875	0.366310741	58.74456469	24.77270167
1060	14.32712712	-7.631643631	0.372558498	58.99240987	24.77588739
1070	14.33266803	-7.63791821	0.378833077	59.23807147	24.77898293
1080	14.33821152	-7.644219385	0.385134252	59.48158891	24.78199163
1090	14.34375765	-7.650546935	0.391461801	59.72300094	24.78491666
1100	14.3493064	-7.656900641	0.397815507	59.962345	24.78776108
1110	14.35485778	-7.663280289	0.404195156	60.19965768	24.79052777
1120	14.36041179	-7.66968567	0.410600537	60.43497457	24.79321951
1130	14.36596845	-7.676116576	0.417031443	60.66833036	24.79583895
1140	14.37152778	-7.682572807	0.423487673	60.89975887	24.79838863
1150	14.37708981	-7.689054161	0.429969028	61.12929307	24.80087098
1160	14.38265449	-7.695560443	0.43647531	61.35696494	24.80328831
1170	14.38822187	-7.70209146	0.443006326	61.58280584	24.80564286
1180	14.39379196	-7.708647022	0.449561889	61.80684629	24.80793674
1190	14.39936478	-7.715226944	0.456141811	62.02911608	24.810172
1200	14.40494032	-7.721831042	0.462745909	62.24964419	24.81235061
1210	14.41051862	-7.728459136	0.469374003	62.46845898	24.81447442
1220	14.4160997	-7.73511105	0.476025916	62.68558816	24.81654525
1230	14.42168353	-7.741786606	0.482701473	62.90105857	24.81856482
1240	14.42727017	-7.748485635	0.489400502	63.11489671	24.82053478
1250	14.43285961	-7.755207968	0.496122835	63.32712822	24.82245674
1260	14.43845189	-7.761953438	0.502868305	63.53777829	24.8243322
1270	14.44404702	-7.768721882	0.509636749	63.74687145	24.82616266
1280	14.44964499	-7.775513138	0.516428005	63.95443164	24.8279495
1290	14.45524584	-7.782327048	0.523241915	64.16048235	24.8296941
1300	14.4608496	-7.789163456	0.530078323	64.36504649	24.83139776
1310	14.46645624	-7.796022207	0.536937074	64.56814637	24.83306173
1320	14.47206586	-7.802903151	0.543818018	64.76980403	24.83468721
1330	14.4776784	-7.809806137	0.550721004	64.97004074	24.83627538
1340	14.48329392	-7.81673102	0.557645887	65.16887752	24.83782735
1350	14.48891242	-7.823677653	0.56459252	65.3663348	24.83934419
1360	14.49453392	-7.830645894	0.571560761	65.56243262	24.84082695
1370	14.50015846	-7.837635604	0.57855047	65.75719065	24.84227663
1380	14.50578604	-7.844646641	0.585561508	65.950628	24.84369419
1390	14.5114167	-7.851678872	0.592593739	66.14276351	24.84508055
1400	14.51705041	-7.858732159	0.599647026	66.33361548	24.84643662
1410	14.52268727	-7.865806372	0.606721238	66.52320203	24.84776327
1420	14.52832725	-7.872901378	0.613816245	66.71154071	24.84906131
1430	14.53397038	-7.880017049	0.620931916	66.8986488	24.85033157
1440	14.53961668	-7.887153257	0.628068124	67.0845432	24.85157481
1450	14.54526617	-7.894309877	0.635224744	67.26924046	24.85279178
1460	14.5509189	-7.901486786	0.642401653	67.45275691	24.85398322
1470	14.55657484	-7.90868386	0.649598727	67.63510831	24.85514982
1480	14.56223405	-7.91590098	0.656815847	67.81631034	24.85629225
1490	14.56789656	-7.923138027	0.664052894	67.99637827	24.85741118
1500	14.57356236	-7.930394882	0.671309749	68.17532704	24.85850722
1510	14.5792315	-7.937671432	0.678586299	68.35317139	24.859581
1520	14.58490396	-7.94496756	0.685882427	68.52992563	24.8606331
1530	14.59057985	-7.952283157	0.693198024	68.70560405	24.8616641
1540	14.59625911	-7.959618108	0.700532975	68.88022034	24.86267454
1550	14.60194178	-7.966972305	0.707887172	69.0537881	24.86366497
1560	14.60762791	-7.97434564	0.715260506	69.22632075	24.86463589
1570	14.61331754	-7.981738006	0.722652872	69.39783136	24.86558782
1580	14.61901064	-7.989149296	0.730064163	69.5683327	24.86652123
1590	14.62470725	-7.996579407	0.737494274	69.73783737	24.8674366
1600	14.63040742	-8.004028237	0.744943103	69.90635779	24.86833439
